atleta_id,apelido,clube,posicao,preco_num,variacao_num,media_num,jogos_num,minimo_para_valorizar,CA,DS,FC,FD,FF,FS,SG,G,I,A,PS,V,GC,PC,CV,DE,GS,FT,PP,DP
82775,Lucas Ramon,SAO,Lateral,10.86,0.0,4.98,19,4.07,2.0,33.0,17.0,4.0,6.0,26.0,4.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
104811,Sebastián Gómez,CFC,Meia,4.75,0.0,2.88,22,1.78,3.0,33.0,30.0,4.0,7.0,21.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87742,Neto Moura,MIR,Meia,3.88,0.0,1.76,14,1.46,6.0,16.0,13.0,2.0,7.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92811,Bruno Rodrigues,CRU,Atacante,4.72,0.0,2.4,15,1.77,0.0,7.0,8.0,2.0,2.0,13.0,0.0,1.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
133679,Benedetti,PAL,Zagueiro,5.42,0.0,4.85,2,2.03,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111832,Jefté,PAL,Lateral,4.16,0.0,2.47,7,1.56,1.0,3.0,5.0,0.0,0.0,1.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97321,Alesson,MIR,Atacante,8.05,-0.44,4.54,22,3.02,2.0,34.0,21.0,13.0,10.0,33.0,0.0,0.0,9.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
136156,Larson,PAL,Meia,1.34,-0.35,0.05,6,0.5,1.0,0.0,4.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112863,Ramón Sosa,PAL,Atacante,5.87,0.0,3.31,19,2.2,3.0,4.0,18.0,3.0,8.0,22.0,0.0,4.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
72279,Thomazella,MIR,Goleiro,0.83,0.0,-1.35,2,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0
97460,João Victor,MIR,Zagueiro,5.05,0.0,2.87,23,1.89,2.0,26.0,11.0,3.0,3.0,7.0,1.0,2.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104027,Rafael Guanaes,MIR,Técnico,7.49,-0.1,4.37,24,2.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78478,Willian Arão,SAN,Meia,6.21,0.9,3.42,19,2.33,2.0,36.0,10.0,1.0,2.0,5.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
81005,André Luis,MIR,Atacante,3.17,0.26,1.01,13,1.19,2.0,1.0,6.0,0.0,2.0,12.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83257,Gabriel,SAN,Atacante,10.57,0.0,5.28,17,3.96,5.0,4.0,6.0,2.0,17.0,7.0,0.0,8.0,12.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
90917,Carlos Eduardo,MIR,Atacante,4.72,0.0,2.82,14,1.77,1.0,9.0,9.0,2.0,7.0,16.0,0.0,1.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98384,Negueba,MIR,Atacante,8.57,0.0,5.23,8,3.21,4.0,15.0,5.0,3.0,6.0,17.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84042,Tiquinho Soares,BOT,Atacante,4.69,-0.59,1.5,8,1.76,1.0,3.0,6.0,3.0,5.0,6.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84847,Luan Peres,SAN,Zagueiro,5.3,0.19,3.31,19,1.99,2.0,21.0,21.0,0.0,2.0,16.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
95466,Igor Vinícius,SAN,Lateral,9.65,-0.57,6.39,18,3.62,4.0,53.0,21.0,2.0,0.0,17.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
105903,Aldo Filho,MIR,Meia,3.8,0.0,2.09,15,1.42,7.0,18.0,20.0,3.0,6.0,8.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101708,Felipe Jonatan,CFC,Lateral,4.31,0.0,2.08,17,1.62,0.0,10.0,5.0,2.0,2.0,6.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97520,Shaylon,MIR,Meia,4.35,0.83,1.8,17,1.63,2.0,12.0,15.0,2.0,2.0,4.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87470,Thaciano,SAN,Meia,5.57,0.05,2.13,16,2.09,1.0,7.0,3.0,2.0,5.0,7.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102975,Escobar,SAN,Lateral,10.06,0.0,6.61,18,3.77,6.0,54.0,18.0,1.0,4.0,16.0,6.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
